,category,value,ques,ans
5399,the old colleg tri,$1000,the math depart will gladli instruct you in plane spheric thi,trigonometri
5400,capit,$200,thi european capit is home to cardin stefan wyszynski univers,warsaw
5401,easi a a b c,$400,oxygen endur exercis that promot cardiovascular fit,aerob
5402,u s univers,$1000,methodist found thi connecticut univers name it for method 's founder,wesleyan
5403,pour me a stiff one,$1000,mon dieu thi french liqueur wa origin made at the abbey of fecamp by the monk for which it is name,benedictin
5404,offici state seal,$200,there are no deer or antelop play on kansas' state seal but there is a herd of these,buffalo
5405,what happen in vega,$1000,la vega is in the counti name for thi man who brought a railroad to the area,clark
5406,what are you afraid of ?,$400,it 's the countri someon with sinophobia would be least apt to visit,china
5407,pope pourri,$1000,thi titl refer to someon set up a bishop of rome in opposit to the one alreadi hold the see two live in avignon,antipop
5408,the frank,$400,he co rule the frank with hi brother carloman but becam sole king when hi brother die in seven hundred and seventy-one,charlemagn
5409,eat like a hors,$1000,thi protein rich plant of the pea famili is like steak for hors do n't give the littl rascal too much of it,alfalfa
5410,shakespearean alphabet,$400,a is for thi romeo juliet tradesman a druggist from whom romeo buy poison,apothecari
5411,know your muppet,$400,dr teeth rowlf play thi instrument,piano
5412,natur,$400,often found cling to rock limpid are a type of thi mollusk,snail
5413,the world of mr burn,$1000,a href http www j archiv com medium two thousand and eight three ten j five mp3 my mother 's sordid affair with thi presid later chief justic of the unit state still rankl a,taft
5414,az i wa say,$1000,an area call nagorno karabakh ha long been a sourc of disput between thi countri it neighbor armenia,azerbaijan
5415,transport,$1000,"in one thousand, nine hundred and eighty-seven greyhound line bought thi dalla base competitor",trailway
5416,u s mountain,$200,the bitterroot rang of thi mountain chain extend more than three hundred mile along the idaho montana border,rocki
5417,health medicin,$400,apnea is the temporari cessat of thi,breath
5418,journal,$200,a young report may have to work in thi section updat life stori just in case,obituari
5419,sport beat term,$1000,from the latin for dust it 's what the jackhamm did to the boulder sixteen zero,pulver
5420,earth scienc,$400,the sling psychromet hair hygromet are use to determin the rel amount of thi,humid
5421,cow,$1000,the reticulum rumen omasum abomasum make up a cow 's thi,stomach
5422,b d,$400,to win on ebay you gotta do thi,bid
5423,song lyric,$400,i 'd love to get you on a slow boat to thi place all to myself alon,china
5424,ism nation,$400,a modern idea or invent wrongli place in a histor drama,anachron
5425,the u s board on geograph name,$400,d'oh the usbgn 's websit say it 's a myth that there 's a commun name thi in each of the fifty state there 's one in onli thirty-four,springfield
5426,color,$200,a young deer or it color,fawn
5427,potent potabl,$200,a favorit drink in coloni new england wa blackstrap a mixtur of mola thi potent potabl,rum
5428,who' the bos ?,$1000,"of hitler 's afrika korp one thousand, nine hundred and forty-one one thousand, nine hundred and forty-three",rommel
5429,'80 tv,$200,befor frasier got hi own show he wa one of the patron at the boston bar on thi show,cheer
5430,eak for yourself,$1000,an escap from danger especi a narrow one,squeak
5431,noun to verb,$200,one state of water a a verb it can mean to decor a cake or to ensur a victori,ice
5432,they came to egypt,$1000,a href http www j archiv com medium two thousand and five three eighteen j thirty jpg target blank jimmi of the clue crew report from luxor egypt a one of the peopl behind move the other obelisk to pari wa a href http www j archiv com medium two thousand and five three eighteen j 30a jpg target blank thi a decipher of the rosetta stone,champollion
5433,busi industri,$200,thi compani 's new comput product includ the aptiva s the thinkpad five hundred and sixty,ibm
5434,crossword clue f,$1000,it 's spoken in hameenlinna hyvinkaa seven,finnish
5435,planetari distinct,$400,the most distant one known to the ancient,saturn
5436,nonfict,$200,"john reed 's ten day that shook the world is an account of thi countri 's one thousand, nine hundred and seventeen revolut",russia
5437,brit speak,$200,fanci a cuppa luv ? cuppa is a cup of thi,tea
5438,where there' a william,$400,"the virginia citi settl in one thousand, six hundred and thirty-three a middl plantat wa renam thi in one thousand, six hundred and ninety-nine",williamsburg
5439,proverb,$200,imit is the sincerest form of it but bewar it corrupt both the receiv and the giver,flatteri
5440,sitcom,$400,on thi sitcom a how to book author buy a vermont inn move there,newhart
5441,the new york time dine wine,$200,on dec twenty-three two thousand and nine the pour a blog about wine on nytim com focus on thi bubbl beverag,champagn
5442,the big unit,$400,mugnaini is a compani special in wood fire oven includ one over 4' wide by 6' deep for thi food,pizza
5443,french art artist,$1000,"jacqu loui david 's one thousand, seven hundred and eighty-seven paint the death of thi athenian show him be offer a cup of hemlock",socrat
5444,world histori,$400,"in the first major chariti event of it kind a concert wa held aug one one thousand, nine hundred and seventy-one to rais money for thi countri",bangladesh
5445,the academi award,$1000,"of thi compani 's thirteen true life adventur made between one thousand, nine hundred and forty-eight one thousand, nine hundred and sixty eight won oscar",disney
5446,can't smile without you,$200,an adjunct to a toothbrush it can be nylon or silk thread wax or unwax,floss
5447,no byte,$1000,rememb salvador dali 's work the persist of thi,memori
5448,televis,$200,on thi sitcom the charact joey land a part on day of our live,friend
5449,fake it,$400,the titl of spike lee 's two thousand joint it mean cheat by trickeri,bamboozl
5450,name of the twelve apostl,$1000,ha an accent over the o in spanish,simon
5451,20th centuri food,$200,"in one thousand, nine hundred and twenty-six hormel 's innov wa sell it flavor seal ham in these contain",can
5452,obscur america,$1000,the norumbega fault zone run from penobscot bay in thi state through massachusett,main
5453,skull,$1000,a href http www j archiv com medium two thousand and eight ten seventeen j thirty jpg target blank jon of the clue crew point to an anatom diagram on the monitor a allow mold of the head dure birth soft spot on a babi 's skull also known a these are surround by bone that fuse harden by eighteen month,fontanel
5454,fruit veget,$1000,also call a mexican potato thi crunchi veget can be bake boil or fri or serv raw in salad,jicama
5455,ten hut,$400,our current tenth month held thi posit on the old roman calendar,eighth
5456,it happen in the '70,$1000,"a href http www j archiv com medium two thousand and five one seventeen j twelve jpg target blank hi i'm levar burton a i star in thi one thousand, nine hundred and seventy-seven landmark miniseri that inspir million of peopl to research their own famili tree",root
5457,pizza top,$1000,wild one of these found on pizza includ shiitak morel chanterel,mushroom
5458,sherri,$200,term for wine like sherri or port that ha spirit ad to boost it potenc,fortifi
5459,game,$200,each year million of peopl particip in thi indoor game use special shoe brunswick equip,bowl
5460,habla espa ol ? s,$200,my wife claim i am muy thi manli assert just like the villag peopl song,macho
5461,biolog,$400,it 's defin a a chang in the hereditari materi of an organ 's cell,mutat
5462,tradit anniversari gift,$200,for a 3rd anniversari it 's a gift made of thi be it a jacket glove or a briefcas,leather
5463,the jep tone world tour two thousand and six,$1000,"oop the 'tone hire mensa 's angel a secur at thi speedway in california site of a one thousand, nine hundred and sixty-nine free concert by the stone",altamont
5464,synonym,$1000,among synonym of whirlpool it 's the most common first name,eddi
5465,let' get syria s,$1000,"in one thousand, nine hundred and fifty-eight syria join thi countri in form the unit arab republ the union disband three year later",egypt
5466,one of the seven deadli sin,$200,sound like a collect name for a group of larg cat,pride
5467,secret of the cia,$400,no soup for you at the cia unless you learn how to make thi the liquid upon which soup is built,broth
5468,europ,$400,the resid of thi countri note for it grand prix are almost all foreign,monaco
5469,movi taglin,$400,"one thousand, nine hundred and seventy-five do n't go in the water",jaw
5470,novel place,$200,east of eden the grape of wrath both involv trek to thi state,california
5471,sub group,$400,thi ia can be a disparag term for an area away from the citi center popul by bourgeoi lawn mower rider,suburbia
5472,get your peanut,$400,with five hundred of these unit in one serv a peanut past call plumpy'nut can put two lb a week on a malnourish kid,calori
5473,nation anthem,$200,ye we love thi land sing the fjord dweller of thi countri,norway
5474,read rainbow,$1000,in meanwhil back at the ranch elna hick start to dig for potato get rich by strike thi liquid,oil
